Type,Indicator,Threat Actor,Source
MD5,b14884744cf3f86f6bd5a87f6bcbed85,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,a37d9aa1e165b9dc6c4ff396a9df49aa,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,62ee540334236723136bf0fecfeb6311,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,b89990ec5fe9b5cef59f1cd690403a75,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,9cc4c6ca7826c0771cfbdf27b2bbb515,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,fc99daa2e1b47bae4be51e5e59aef1f0,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,66a69bf967bb882e34b1c32081a9ccee,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,a279035702edd9f2507b5ce5fa69c6d4,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,1741147a31526e23798a7a1b702ade36,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,65167974b397493fce320005916a13e9,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,574013c4a22ca2d8d8c76e65ef5e8059,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,36b19ca8737c63b9c9a3365ff4968ef5,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,9c66f8c0c970822985600bed04e56434,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,f27a4968af4ed64baef8e086516e86ac,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,98279047a7db080129e5ec84533822ef,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,248d4e6bb0f32afd7a1cfb975910235a,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,3c3c9303ae33f3bae2e139dbb1db838e,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,7608c396f0dfb9eac8d88a7b5a7e04e4,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,c86f9ef23b6bb200fc3c0d9d45f0eb4d,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,6a2243837c71d8071523cc76b8d4af43,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
MD5,8e4f65d5d58fca38a6d66a1afb228f20,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
Domain,admincell[.]in,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
Domain,admin-dept[.]in,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
Domain,coordbranch[.]in,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
Domain,adminbr[.]in,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
Domain,coordbr[.]in,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
Domain,admin-desk[.]in,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
Domain,admindesk[.]in,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
Domain,adminsec[.]in,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
Domain,admindept[.]in,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
Domain,admin-br[.]in,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
URL,hxxps://email9ov[.]in/VISIT_OF_MEDICAL/,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
URL,hxxp://103.2.232[.]82:8081/ISEPC-12-2023-Agenda-for-meeting/,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
Domain,baseuploads[.]com,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
Domain,baseuploads[.]com/myf/test.php,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
Domain,indiauc[.]com,APT 36,https://www.zscaler.com/blogs/security-research/peek-apt36-s-updated-arsenal
